201501,7호선,반포,160639,28844,151493,27225
201501,7호선,고속터미널,588155,72350,503242,65865
201501,7호선,내방,357592,60746,372517,60231
201501,7호선,이수,446338,76510,442134,73232
201501,7호선,남성,275945,64569,250335,64927
201501,7호선,숭실대입구,367026,56215,353793,57841
201501,7호선,상도,273438,57199,256283,55164
201501,7호선,장승배기,252807,70260,241487,70805
201501,7호선,신대방삼거리,385387,86305,362576,86874
201501,7호선,보라매,239704,43246,239821,42566
201501,7호선,신풍,286373,63538,268304,63950
201501,7호선,대림,292626,34617,291850,33837
201501,7호선,남구로,426418,58587,446367,60414
201501,7호선,가산디지털단지,1160629,71517,1170977,68694
201501,7호선,철산,665206,90886,667439,89907
201501,7호선,광명사거리,690249,136280,658279,136985
201501,7호선,천왕,190297,39684,168756,39172
201501,7호선,온수,278930,29657,257383,30180
201501,7호선,까치울,138751,16653,122405,16419
201501,7호선,부천종합운동장,139483,14286,126558,14524
201501,7호선,춘의,197730,21560,192468,20540
201501,7호선,신중동,374259,41404,372513,40190
201501,7호선,부천시청,324627,37759,330774,37011
201501,7호선,상동,378381,38450,385219,38374
201501,7호선,삼산체육관,139748,20420,126401,19778
201501,7호선,굴포천,221661,27621,228834,27558
201501,7호선,부평구청,315921,26067,234338,22927
201501,8호선,암사,434855,80795,378227,80087
201501,8호선,천호,512794,89771,569800,82446
201501,8호선,강동구청,259593,57750,269234,57904
201501,8호선,몽촌토성,157863,35593,170534,35595
201501,8호선,잠실,269125,48516,323557,43923
201501,8호선,석촌,225766,54691,239659,55834
201501,8호선,송파,123234,33287,124379,33633
201501,8호선,가락시장,152234,44993,183405,44861
201501,8호선,문정,135696,27180,129859,26585
201501,8호선,장지,323192,50542,311127,48526
201501,8호선,복정,182864,29639,129434,26713
201501,8호선,산성,175781,37818,166092,41305
201501,8호선,남한산성입구,347538,70715,303534,68193
201501,8호선,단대오거리,307412,66364,290929,60528
201501,8호선,신흥,117541,46975,121888,47753
201501,8호선,수진,115949,38999,105371,37916
201501,8호선,모란,90667,50239,69400,34791
201501,9호선,개화,148155,27453,88699,19874
201501,9호선,김포공항,246752,20160,287114,20841
201501,9호선,공항시장,72585,20927,82551,22899
201501,9호선,신방화,169119,38500,160054,38259
201501,9호선,마곡나루,49608,7012,45753,7072
201501,9호선,양천향교,169461,35179,165605,35196
201501,9호선,가양,469127,107695,439698,104082
201501,9호선,증미,191313,39583,201261,41060
201501,9호선,등촌,265941,73910,271132,74472
201501,9호선,염창,369970,51868,345474,50529
201501,9호선,신목동,106192,15175,90820,14260
201501,9호선,선유도,172599,23744,169582,23218
201501,9호선,당산,422698,54179,384841,49891
201501,9호선,국회의사당,392949,49479,405860,43215
201501,9호선,여의도,470992,33396,470497,30654
201501,9호선,샛강,150408,23431,160460,23499
201501,9호선,노량진,817907,114416,864989,119275
201501,9호선,노들,121496,27470,100670,25964
201501,9호선,흑석(중앙대입구),252588,54505,260917,56150
201501,9호선,동작,40212,11720,26443,9980
201501,9호선,구반포,80815,21595,87864,22556
201501,9호선,신반포,69980,19347,71893,19689
